,1,2,3,4,5,6,7,8,9,10,
1,vnFace,Đồng ,thanh,eKYC,phủ,42,Agentic AI,ICASSP,EMNLP,MLops,
2,Đông ,Sao,tương,ứng,GoConnect,AI,Mũi,200,088.956.1166,Hưng,E
3,Khuê,9,AInicorns,vnSocial,Minh,City,Hội,Né,VNPT,Make,
4,Vinaphone,of,GenAI,Chí,Computer ,Challenge,iSense,An,JOB ,In,
5,Age,Define,Hồ,Speech,Vision,CVPR,Security ,344,FAIR,Viet,
6,Data,SmartVision,the,Processing,"2,000,000,000",ICCV,Global,Go,2026,Nam,
7,Big,Nốt,nhạc,future,SmartBot,Nẵng,Excellence,Global,số,"1,1 tỷ",
8,SmartUX,57A,Digishop,lệch,tông,Đà,Awards,Chuyển,đổi,Natural,
9,251,tế,IC,16K,iKnow,Siêu,âm,18/12/2025,Language,Nội,
10,Quốc,SmartVoice,iSee,Assistant,Chính,tuyến,giáp,Processing,Hà,SmartReader,